r/R,twist (deg)
0.148122392,58.06896552
0.171766342,57.72413793
0.207927677,57.03448276
0.23713491,56.4137931
0.270514604,55.5862069
0.295549374,54.75862069
0.326147427,53.79310345
0.352573018,52.75862069
0.38178025,51.51724138
0.413769124,50.13793103
0.441585535,48.82758621
0.470792768,47.24137931
0.5,45.86206897
0.527816412,44.48275862
0.559805285,42.96551724
0.589012517,41.44827586
0.612656467,40.4137931
0.644645341,38.75862069
0.673852573,37.51724138
0.701668985,36.27586207
0.729485396,34.89655172
0.757301808,33.5862069
0.783727399,32.48275862
0.80876217,31.37931034
0.829624478,30.27586207
0.85744089,29.17241379
0.883866481,28.17241379
0.938108484,26.48275862
0.967315716,25.5862069
0.997913769,24.75862069