r/R,y/R (y-distance of LE from the middle point of hub)
0.148122392,0.1
0.171766342,0.1
0.207927677,0.1
0.23713491,0.1
0.270514604,0.1
0.295549374,0.1
0.326147427,0.1
0.352573018,0.1
0.38178025,0.1
0.413769124,0.1
0.441585535,0.1
0.470792768,0.1
0.5,0.1
0.527816412,0.1
0.559805285,0.1
0.589012517,0.1
0.612656467,0.1
0.644645341,0.1
0.673852573,0.1
0.701668985,0.1
0.729485396,0.1
0.757301808,0.1
0.783727399,0.1
0.80876217,0.1
0.829624478,0.1
0.85744089,0.1
0.883866481,0.1
0.938108484,0.1
0.967315716,0.1
0.997913769,0.1